col
0	0	0	# 0
181	173	148	# 1
123	107	90	# 2
57	41	33	# 3
24	16	16	# 4
189	214	214	# 5
165	173	189	# 6
90	107	132	# 7
49	57	66	# 8
16	24	33	# 9
255	82	57	# 10
198	66	49	# 11
231	115	107	# 12
255	123	115	# 13
132	49	49	# 14
173	57	57	# 15
255	33	33	# 16
123	74	74	# 17
214	33	49	# 18
255	90	99	# 19
231	107	115	# 20
255	41	66	# 21
99	8	24	# 22
189	49	66	# 23
216	40	125	# 24
90	57	57	# 25
74	33	41	# 26
165	41	66	# 27
231	0	41	# 28
198	74	115	# 29
198	24	66	# 30
189	41	82	# 31
132	107	115	# 32
247	24	99	# 33
148	99	115	# 34
222	16	107	# 35
173	148	165	# 36
222	41	123	# 37
239	123	181	# 38
247	148	214	# 39
189	90	140	# 40
247	82	165	# 41
206	132	165	# 42
173	57	123	# 43
222	115	189	# 44
231	206	222	# 45
222	214	222	# 46
198	0	198	# 47
156	49	206	# 48
214	198	231	# 49
165	115	206	# 50
49	33	90	# 51
90	49	115	# 52
123	107	198	# 53
49	41	90	# 54
49	49	74	# 55
140	140	165	# 56
33	41	74	# 57
41	41	99	# 58
33	41	123	# 59
82	82	115	# 60
41	66	140	# 61
173	165	214	# 62
49	99	206	# 63
107	140	148	# 64
49	57	66	# 65
24	41	66	# 66
115	165	214	# 67
74	82	107	# 68
90	107	132	# 69
66	132	189	# 70
99	148	198	# 71
181	206	247	# 72
0	140	222	# 73
82	198	247	# 74
132	165	181	# 75
0	107	148	# 76
49	123	148	# 77
115	189	222	# 78
132	231	247	# 79
57	140	140	# 80
90	206	206	# 81
0	98	222	# 82
8	189	173	# 83
107	140	148	# 84
33	132	8	# 85
57	189	156	# 86
115	247	214	# 87
41	165	115	# 88
49	99	74	# 89
123	239	123	# 90
132	165	123	# 91
57	148	41	# 92
99	165	99	# 93
90	107	82	# 94
132	148	115	# 95
90	148	0	# 96
148	156	82	# 97
255	231	231	# 98
239	222	74	# 99
198	189	66	# 100
255	239	24	# 101
255	222	49	# 102
189	173	90	# 103
247	181	8	# 104
239	222	74	# 105
255	239	165	# 106
66	66	66	# 107
206	181	132	# 108
181	140	82	# 109
231	181	107	# 110
214	148	49	# 111
247	231	206	# 112
140	123	107	# 113
255	148	33	# 114
255	165	82	# 115
255	140	24	# 116
156	99	49	# 117
165	156	140	# 118
214	123	66	# 119
214	156	115	# 120
255	222	198	# 121
239	99	41	# 122
74	57	57	# 123
239	74	24	# 124
255	181	156	# 125
66	49	41	# 126
239	165	156	# 127
end
ped
cop, 109,-126,0,0, 109,126,0,0, 109,126,0,0, 109,126,0,0
end

////// NOTES (remove when using this in the game)
The "col" section stores the RGB values for a colour index. A virtually infinite amount can be made.

The "ped" section stores the colour values to choose from for each ped in sets of 4. The first element of each line in this section is always the model name. After that, the
numbers are the index of the "col" section/table. Putting a minus sign (-) before the number here will set it so that the material this colour is assigned to will have a 50% 
chance of being invisible, useful for hiding props. Each ped has 4 changeable material colours. A virtually infinite amount of color sets can be made for each ped.
